No: 1, Time: 4.9203s, Source: 192.168.1.1, Destination: 192.168.1.13, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 2, Time: 4.9283s, Source: 192.168.1.1, Destination: 192.168.1.12, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 3, Time: 4.9308s, Source: 192.168.1.1, Destination: 192.168.1.11, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 4, Time: 35.3114s, Source: 192.168.1.1, Destination: 192.168.1.13, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 5, Time: 35.3157s, Source: 192.168.1.1, Destination: 192.168.1.12, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 6, Time: 35.3189s, Source: 192.168.1.1, Destination: 192.168.1.11, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 7, Time: 72.7974s, Source: 10.0.2.1, Destination: 10.0.2.20, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 8, Time: 78.5592s, Source: 172.16.0.1, Destination: 172.16.0.2, Protocol: TCP, Length: 1500, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=1500
No: 9, Time: 97.9603s, Source: 192.168.1.1, Destination: 192.168.1.13, Protocol: TCP, Length: 9000, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=9000
No: 10, Time: 97.9660s, Source: 192.168.1.1, Destination: 192.168.1.12, Protocol: TCP, Length: 9000, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=9000
No: 11, Time: 97.9713s, Source: 192.168.1.1, Destination: 192.168.1.11, Protocol: TCP, Length: 9000, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=9000
No: 12, Time: 106.0031s, Source: 192.168.1.1, Destination: 192.168.1.13, Protocol: TCP, Length: 9000, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=9000
No: 13, Time: 106.0076s, Source: 192.168.1.1, Destination: 192.168.1.12, Protocol: TCP, Length: 9000, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=9000
No: 14, Time: 106.0111s, Source: 192.168.1.1, Destination: 192.168.1.11, Protocol: TCP, Length: 9000, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=9000
No: 15, Time: 113.6969s, Source: 192.168.1.1, Destination: 192.168.1.13, Protocol: TCP, Length: 512, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=512
No: 16, Time: 113.7014s, Source: 192.168.1.1, Destination: 192.168.1.12, Protocol: TCP, Length: 512, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=512
No: 17, Time: 113.7053s, Source: 192.168.1.1, Destination: 192.168.1.11, Protocol: TCP, Length: 512, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=512
No: 18, Time: 119.3758s, Source: 192.168.1.1, Destination: 192.168.1.13, Protocol: TCP, Length: 512, Info: 8080 → 443 [SYN, ACK] Seq=1 Ack=1 Win=64240 Len=512
